"Name" "Nationality"
"Ciro Immobile" "ITA"
"Henrikh Mkhitaryan" "ARM"
"Pierre-Emerick Aubameyang" "GAB"
"Adrián Ramos" "COL"
"Marian Sarr" "GER"
"Jürgen Klopp" "GER"
"Fernando Muslera" "URU"
"Sinan Bolat" "TUR"
"Eray Iscan" "TUR"
"Gökhan Zan" "TUR"
"Alex Telles" "BRA"
"Aurélien Chedjou" "CMR"
"Hakan Balta" "TUR"
"Semih Kaya" "TUR"
"Emre Can Çoskun" "TUR"
"Tarik Çamdal" "TUR"
"Veysel Sari" "TUR"
"Felipe Melo" "BRA"
"Hamit Altintop" "TUR"
"Blerim Dzemaili" "SUI"
"Aydin Yilmaz" "TUR"
"Selçuk Inan" "TUR"
"Wesley Sneijder" "NED"
"Bruma" "POR"
"Furkan Özçal" "TUR"
"Yasin Öztekin" "TUR"
"Olcan Adin" "TUR"
"Yekta Kurtulus" "TUR"
"Emre Çolak" "TUR"
"Umut Bulut" "TUR"
"Burak Yilmaz" "TUR"
"Goran Pandev" "MKD"
"Hamza Hamzaoglu" "TUR"
"Silvio Proto" "BEL"
"Nicaise Kudimbana" "BEL"
"Davy Roef" "BEL"
"Fabrice N'Sakala" "FRA"
"Olivier Deschacht" "BEL"
"Maxime Colin" "FRA"
"Bram Nuytinck" "NED"
"Chancel Mbemba" "COD"
"Michael Heylen" "BEL"
"Hervé Matthys" "BEL"
"Anthony Vanden Borre" "BEL"
"Andy Najar" "HON"
"Dennis Praet" "BEL"
"Steven Defour" "BEL"
"Frank Acheampong" "GHA"
"Sacha Kljestan" "USA"
"Youri Tielemans" "BEL"
"Leander Dendoncker" "BEL"
"Samuel Bastien" "BEL"
"Wigor" "BRA"
"Matías Suárez" "ARG"
"Cyriac" "CIV"
"Oswal Alvarez" "COL"
"Ibrahima Conté" "GUI"
"Aaron Leya Iseka" "COD"
"Andy Kawaya" "BEL"
"Nathan Kabasele" "BEL"
"Aleksandar Mitrovic" "SRB"
"Besnik Hasi" "BEL"
"Gianluca Curci" "ITA"
"Morgan De Sanctis" "ITA"
"Lukasz Skorupski" "POL"
"Gabriele Marchegiani" "ITA"
"Mapou Yanga-Mbiwa" "FRA"
"Ashley Cole" "ENG"
"Leandro Castán" "BRA"
"Maicon" "BRA"
"Davide Astori" "ITA"
"José Holebas" "GRE"
"Vasilis Torosidis" "GRE"
"Kostas Manolas" "GRE"
"Michele Somma" "ITA"
"Massimo Sammartino" "ITA"
"Elio Capradossi" "ITA"
"Arturo Calabresi" "ITA"
"Radja Nainggolan" "BEL"
"Kevin Strootman" "NED"
"Juan Manuel Iturbe" "PAR"
"Miralem Pjanic" "BIH"
"Daniele De Rossi" "ITA"
"Seydou Keita" "MLI"
"Alessandro Florenzi" "ITA"
"Leandro Paredes" "ARG"
"Salih Uçan" "TUR"
"Matteo Adamo" "ITA"
"Lorenzo Pellegrini" "ITA"
"Jacopo Ferri" "ITA"
"Adem Ljajic" "SRB"
"Marco Borriello" "ITA"
"Francesco Totti" "ITA"
"Mattia Destro" "ITA"
"Gervinho" "CIV"
"Daniele Verde" "ITA"
"Rudi Garcia" "FRA"
"Manuel Neuer" "GER"
"Tom Starke" "GER"
"Pepe Reina" "ESP"
"Leopold Zingerle" "GER"
"Ivan Lucic" "AUT"
"Dante" "BRA"
"Medhi Benatia" "MAR"
"Rafinha" "BRA"
"Jérôme Boateng" "GER"
"Juan Bernat" "ESP"
"Philipp Lahm" "GER"
"David Alaba" "AUT"
"Holger Badstuber" "GER"
"Ylli Sallahi" "AUT"
"Xabi Alonso" "ESP"
"Thiago Alcántara" "ESP"
"Franck Ribéry" "FRA"
"Javi Martínez" "ESP"
"Lucas-Julian Scholl" "GER"
"Gianluca Gaudino" "GER"
"Mario Götze" "GER"
"Sebastian Rode" "GER"
"Mitchell Weiser" "GER"
"Bastian Schweinsteiger" "GER"
"Pierre Højbjerg" "DEN"
"Robert Lewandowski" "POL"
"Arjen Robben" "NED"
"Xherdan Shaqiri" "SUI"
"Claudio Pizarro" "PER"
"Sinan Kurt" "GER"
"Thomas Müller" "GER"
"Patrick Weihrauch" "GER"
"Josep Guardiola" "ESP"
"Joe Hart" "ENG"
"Willy Caballero" "ARG"
"Ian Lawlor" "IRL"
"Angus Gunn" "ENG"
"Bacary Sagna" "FRA"
"Vincent Kompany" "BEL"
"Pablo Zabaleta" "ARG"
"Aleksandar Kolarov" "SRB"
"Eliaquim Mangala" "FRA"
"Gaël Clichy" "FRA"
"Martín Demichelis" "ARG"
"Matija Nastasic" "SRB"
"Dedryck Boyata" "BEL"
"Shay Facey" "ENG"
"Fernando" "BRA"
"James Milner" "ENG"
"Samir Nasri" "FRA"
"Jesús Navas" "ESP"
"Frank Lampard" "ENG"
"David Silva" "ESP"
"Fernandinho" "BRA"
"Yaya Touré" "CIV"
"George Evans" "ENG"
"Kean Bryan" "ENG"
"George Glendon" "WAL"
"Sinan Bytyqi" "AUT"
"Edin Džeko" "BIH"
"Wilfried Bony" "CIV"
"Sergio Agüero" "ARG"
"Stevan Jovetic" "MNE"
"Jordy Hiwula" "ENG"
"José Ángel Pozo" "ESP"
"Manuel Pellegrini" "CHI"
"Sergei Chepchugov" "RUS"
"Igor Akinfeev" "RUS"
"Ilya Pomazun" "RUS"
"Mário Fernandes" "BRA"
"Sergei Ignashevich" "RUS"
"Aleksei Berezutski" "RUS"
"Kirill Nababkin" "RUS"
"Vasili Berezutski" "RUS"
"Georgi Schennikov" "RUS"
"Nikita Chernov" "RUS"
"Pontus Wernbloom" "SWE"
"Zoran Tošic" "SRB"
"Alan Dzagoev" "RUS"
"Dmitri Efremov" "RUS"
"Aleksandrs Cauna" "LVA"
"Rasmus Elm" "SWE"
"Georgi Milanov" "BUL"
"Roman Eremenko" "FIN"
"Bebras Natcho" "ISR"
"Svyatoslav Georgievski" "RUS"
"Maksim Martusevich" "RUS"
"Kirill Panchenko" "RUS"
"Ahmed Musa" "NGA"
"Vitinho" "BRA"
"Aleksandr Makarov" "RUS"
"Nikolai Dergachev" "RUS"
"Konstantin Bazelyuk" "RUS"
"Seydou Doumbia" "CIV"
"Leonid Slutski" "RUS"
"Jasper Cillessen" "NED"
"Peter Leeuwenburgh" "NED"
"Diederik Boer" "NED"
"Ricardo van Rhijn" "NED"
"Joël Veltman" "NED"
"Niklas Moisander" "FIN"
"Nicolai Boilesen" "DEN"
"Mike van der Hoorn" "NED"
"Jairo Riedewald" "NED"
"Kenny Tete" "NED"
"Stefano Denswil" "NED"
"Nick Viergever" "NED"
"Ruben Ligeon" "NED"
"Lerin Duarte" "NED"
"Davy Klaassen" "NED"
"Lucas Andersen" "DEN"
"Thulani Serero" "RSA"
"Riechedly Bazoer" "NED"
"Niki Zimling" "DEN"
"Viktor Fischer" "DEN"
"Kolbeinn Sigthórsson" "ISL"
"Ricardo Kishna" "NED"
"Robert Muric" "CRO"
"Arkadiusz Milik" "POL"
"Lasse Schöne" "DEN"
"Anwar El Ghazi" "NED"
"Richairo Zivkovic" "NED"
"Queensy Menig" "NED"
"Frank de Boer" "NED"
"Dionisios Chiotis" "GRE"
"Urko Pardo" "ESP"
"Tasos Kissas" "CYP"
"João Guilherme" "BRA"
"Carlão" "BRA"
"John Arne Riise" "NOR"
"Marios Antoniades" "CYP"
"Tasos Papazoglou" "GRE"
"Andreas Christofides" "CYP"
"Mário Sérgio" "POR"
"Nicholas Ioannou" "CYP"
"Kaká" "BRA"
